Set Number,Number of Features,Features,KMeans Silhouette Score,KMeans Davies-Bouldin Index,KMeans Calinski-Harabasz Score,KMeans Prediction Accuracy,DBSCAN Silhouette Score,DBSCAN Davies-Bouldin Index,DBSCAN Prediction Accuracy,Best eps,Best min_samples
368,5,"['OCC_DAY', 'OCC_DOY', 'LONG_LAT_PCA', 'Division_Freq', 'PREMISES_Freq']",0.2283379177706128,1.530018580388278,1250.3069932872324,22.83379177706128,0.25794474048842314,1.5306191305815873,25.794474048842314,1.3,13
369,5,"['OCC_DAY', 'OCC_DOY', 'LONG_LAT_PCA', 'Division_Freq', 'Loca_Premi_Freq']",0.23226715438862067,1.5109366395124386,1265.6249169437476,23.226715438862065,0.25935558432233796,1.5336122549433098,25.935558432233798,1.2,8
370,4,"['OCC_DAY', 'OCC_DOY', 'LONG_LAT_PCA', 'HOOD_Freq']",0.2568762038275195,1.1806344483627202,2024.514125343083,25.687620382751952,0.48756557426562813,0.7728904237885966,48.756557426562814,0.6,3
371,5,"['OCC_DAY', 'OCC_DOY', 'LONG_LAT_PCA', 'HOOD_Freq', 'LOCATION_Freq']",0.23580052966053908,1.3939608035321325,1501.3907844014066,23.58005296605391,0.4335044958905509,0.9215699872613043,43.35044958905509,1.6,3
372,5,"['OCC_DAY', 'OCC_DOY', 'LONG_LAT_PCA', 'HOOD_Freq', 'PREMISES_Freq']",0.23583335867039604,1.412602838238563,1473.768990959541,23.583335867039604,0.4327299244433166,0.9276571208775709,43.272992444331656,1.9,3
373,5,"['OCC_DAY', 'OCC_DOY', 'LONG_LAT_PCA', 'HOOD_Freq', 'Loca_Premi_Freq']",0.20217909823447386,1.468931795216963,1333.97506997631,20.217909823447386,0.4353704855192902,0.933538470122106,43.53704855192902,2.0,3
374,4,"['OCC_DAY', 'OCC_DOY', 'LONG_LAT_PCA', 'DIV_HOOD_Hier']",0.2568839133065069,1.1858931317924055,2051.4756261397188,25.68839133065069,0.49317846305567287,0.7644140978080366,49.317846305567286,0.6,3
375,5,"['OCC_DAY', 'OCC_DOY', 'LONG_LAT_PCA', 'DIV_HOOD_Hier', 'LOCATION_Freq']",0.24390929146128412,1.3684594341409766,1541.6201850767661,24.39092914612841,0.43872929307257114,0.9118985504898048,43.87292930725712,1.6,3
376,5,"['OCC_DAY', 'OCC_DOY', 'LONG_LAT_PCA', 'DIV_HOOD_Hier', 'PREMISES_Freq']",0.2067061941112136,1.4474011621957947,1371.2505885147643,20.67061941112136,0.43793453658587717,0.9179367121032596,43.793453658587715,1.9,3
377,5,"['OCC_DAY', 'OCC_DOY', 'LONG_LAT_PCA', 'DIV_HOOD_Hier', 'Loca_Premi_Freq']",0.23736132867720666,1.4047145848689668,1492.373222289952,23.736132867720666,0.4405137444045657,0.923763070218665,44.05137444045657,2.0,3
379,5,"['OCC_DAY', 'OCC_DOY', 'LONG_WGS84', 'LAT_WGS84', 'LOCATION_Freq']",0.2027891998794693,1.545501932656069,1310.2877863369015,20.27891998794693,0.27185861937717987,1.5034652246695444,27.185861937717988,1.3,13
380,5,"['OCC_DAY', 'OCC_DOY', 'LONG_WGS84', 'LAT_WGS84', 'PREMISES_Freq']",0.19826912621546539,1.5562283413063303,1277.2360142644075,19.826912621546537,0.2635344449104117,1.5286626474168725,26.353444491041174,1.2,13
381,5,"['OCC_DAY', 'OCC_DOY', 'LONG_WGS84', 'LAT_WGS84', 'Loca_Premi_Freq']",0.20191398148534448,1.553733344291293,1289.3266750194343,20.191398148534446,0.264141221919043,1.5315166661719217,26.414122191904298,1.2,8
382,5,"['OCC_DAY', 'OCC_DOY', 'LONG_WGS84', 'LAT_WGS84', 'Division_Freq']",0.24267467963515452,1.4524503911669213,1574.5628395734382,24.26746796351545,0.2542775195916454,1.6139373431388664,25.427751959164542,1.1,3
